payment_count,total_items,total_freight_value,estimated_delivery_days,avg_product_price,avg_product_freight,avg_product_review,avg_product_weight,main_category,total_products_in_order,purchase_month,purchase_day,purchase_hour,is_weekend,purchase_quarter,state_AL,state_AM,state_AP,state_BA,state_CE,state_DF,state_ES,state_GO,state_MA,state_MG,state_MS,state_MT,state_PA,state_PB,state_PE,state_PI,state_PR,state_RJ,state_RN,state_RO,state_RR,state_RS,state_SC,state_SE,state_SP,state_TO,is_late
1,1,13.29,15.625671296296296,59.23333333333332,22.033333333333335,4.444444444444445,650.0,27,1,9,13,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,19.93,18.546458333333334,239.9,19.93,4.0,30000.0,64,1,4,26,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,17.87,21.393391203703704,199.0,18.60666666666667,4.333333333333333,3050.0,55,1,1,14,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,12.79,11.58292824074074,12.99,12.79,4.0,200.0,63,1,8,8,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,18.14,40.41815972222222,202.40000000000006,27.0525,3.8333333333333335,3750.0,41,1,2,4,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,12.69,21.095439814814814,21.9,14.741999999999999,4.0,450.0,73,1,5,15,21,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,11.85,24.504305555555558,18.566666666666666,14.58,4.333333333333333,200.0,71,1,12,10,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,11.65,9.221840277777778,145.95,14.46,3.0,2000.0,12,1,3,19,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1,11.4,20.416909722222226,53.99,9.697500000000002,4.333333333333333,850.0,50,1,7,2,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,8.88,15.072106481481482,59.2627272727272,13.247999999999998,4.2,950.0,12,1,3,24,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
