month,total_orders,total_customers,total_payment_revenue,total_product_revenue,total_freight_revenue,avg_order_payment,total_items_sold
2016-09-01,3,3,252.24,132.39,78.9,84.08,3.0
2016-10-01,324,324,59090.479999999974,49507.66000000013,7301.180000000004,182.37802469135795,363.0
2016-12-01,1,1,19.62,10.9,8.72,19.62,1.0
2017-01-01,800,800,138488.0399999998,120312.86999999968,16875.620000000003,173.11004999999975,955.0
2017-02-01,1780,1780,291908.0099999994,247303.01999999638,38977.59999999988,163.9932640449435,1951.0
2017-03-01,2682,2682,449863.6000000001,374344.3000000001,57704.28999999975,167.73437733035053,3000.0
2017-04-01,2404,2404,417788.0300000005,359927.23000000085,52495.00999999969,173.788698003328,2684.0
2017-05-01,3700,3700,592918.8200000022,506071.14000000706,80119.81000000011,160.2483297297303,4136.0
2017-06-01,3245,3245,511276.3800000042,433038.60000000324,69924.43999999935,157.5582064714959,3583.0
2017-07-01,4026,4026,592382.920000004,498031.48000000644,86940.13999999988,147.13932439145654,4519.0
2017-08-01,4331,4331,674396.3200000023,573971.6800000103,94232.92000000057,155.71376587393263,4910.0
2017-09-01,4285,4285,727762.45,624401.69000001,95997.22000000006,169.839544924154,4831.0
2017-10-01,4631,4631,779677.8799999993,664219.4300000126,105092.9400000005,168.3605873461454,5322.0
2017-11-01,7544,7544,1194882.800000003,1010271.3700000291,168872.4000000022,158.3884941675508,8665.0
2017-12-01,5673,5673,878401.4800000018,743914.1700000161,119633.06000000099,154.83897056231302,6308.0
2018-01-01,7269,7269,1115004.1800000016,950030.36000003,157271.5300000015,153.39168799009514,8208.0
2018-02-01,6728,6728,992463.3400000045,844178.7100000241,142730.2500000017,147.51238703923968,7672.0
2018-03-01,7211,7211,1159652.1199999948,983213.4400000282,171913.38000000225,160.81710165025584,8217.0
2018-04-01,6939,6939,1160785.4799999963,996647.7500000264,163050.2900000011,167.28425997982364,7975.0
2018-05-01,6873,6873,1153982.1499999978,996517.6800000225,153264.1400000009,167.9007929579511,7925.0
2018-06-01,6167,6167,1023880.4999999964,865124.3100000175,157552.80000000034,166.02570131344194,7078.0
2018-07-01,6292,6292,1066540.7500000012,895507.2200000196,163220.8099999994,169.50743006993025,7092.0
2018-08-01,6512,6512,1022425.3199999942,854686.3300000215,148622.13999999937,157.00634520884432,7248.0
2018-09-01,16,16,4439.54,145.0,21.46,277.47125,1.0
2018-10-01,4,4,589.67,,,147.4175,
